date,ASX Small Ords Accum (Ex 100),S&P/ASX 200  Energy   ( TR)m,S&P/ASX 200 - Materials   ( TR)m,S&P/ASX 200 - Telecommunication Services   ( TR)m,S&P/ASX 200(TR)m,S&P/ASX 200 - Property Trusts   ( TR)m,ASX Small Ords Accum (Ex 100),AU NAB Business Confidence,AU NAB Business Conditions,AU NAB Trading Conditions,AU NAB Profitability,Aus NAB Employment,AU NAB Forward Orders,AU NAB Stocks,AU NAB Labour Costs,AU NAB Price of Final Products,Aus Employed - Unemployment Rate,AU NAB Capacity Utilisation,Aus AW Hours,Aus Real GDP mom%,Aus Nominal GDP mom%,Aus Gross Operating Surplus-Private Non financial mom%,Aus Non farm unit labour costs,Aus Wages share % GDP,Aus Rates of Pay Private Sector mom%,Aus Westpac-MI Consumer Sentiment Index,Aus Change in inventories Private real % GDP, Aus non Farm GDP real mom% ,Aust Real Retail Turnover - Total mom%,Aus CPI All Groups,Aus CPI All Groups ex volatile items,Aus CPI Weighted Median,Aus CPI Trimmed Mean,Aus Private Dwelling Investment mom%,Aus Private Capex Equip Investment ex transfers mom%,Aus GDP - Household Consumption mom%,Aus GDP - Private Investment mom%,Aus Terms of Trade,Aus Net External Debt mom%,NAB Business Conditions Deviation from Avge,NAB- NAPMNO Deviation from Avge,Aus Non-Residential Construction Investment mom%,Aus Average Hours(Market sector),Aus GDP per Hour Worked,Aus GDP per Hour Worked(Mkt sector),Aus NAB Business Confidence (SA),Aus NAB Business Conditions(SA),AU NAB Trading Conditions(SA),AU NAB Profitability(SA),Aus NAB Employment(SA),Aus NAB Forward Orders(SA),AU NAB Stocks(SA),AU NAB Labour Costs(SA),AU NAB Purchase Costs(SA),AU NAB Prices(SA),AU NAB Capacity Utilisation(SA),Aus Interest on Dwellings mom%,Aus Consumer Debt Interest mom%,Aus Current Account Deficit % GDP,Aus Household Interest Payments to Disposabl Income,Aus Household Housing Interest Payments to Disp Inc,Aus Household Debt to Assets,Aus Housing Debt to Housing Assets,Aus Total Assets to Disposable Income,Aus Financial  Assets to Disposable Income,Aus Househld Assets- Dwellings,Aus Househld Assets- Consumer Durables,Aus Household Assets- Deposits,"Aus Household Assets- Reserves Life, Pension funds",Aus Household Assets- Equity,Aus Household Assets- other Financial,Aus Household Assets -Total Financial,Aus Household Debt to Disposable Income,Aus Housing Debt to Disposable Income,Aus Housing Debt(est) % of annual Aust GDP,NAB Business Conditions SD from MAV(12),AUS Current Account % of AUS GDP,Aus Aggregate Monthly Hours Worked mom%,Aus Employed - Labour Force mom%,"NAB fwd Orders detrended, normalised",NAB Retail - BusConditions v Total Business Con(2),NAB FBP - BusinessConditions rel overall Condit(2),Australia General government net debtPercent of GDP,AU Westpac-MI Consumer Sentiment Index - Buy major HH item,AU Westpac-MI Consumer Sentiment Index - Family Finances now,AU Westpac-MI Consumer Sentiment Index - Family Finances 1yr,AU Westpac-MI Consumer Sentiment Index - Economic Conditions 1yr,AU Westpac-MI Consumer Sentiment Index - Economic Conditions 5yr,Aus Employment to Population Ratio,Aus Employed  (Part time),WBC Consumer Economic Conditions 5yr - 1yr,WBC WBC Consumer Sentiment Time to buy a House,Aust Underemployment rate
31/07/2006,5463.13,72593.15,57582.86,8537.91,29881.74,34817.34,5463.13,11.5,12.3,18.2,12.6,6.3,7.7,0.5,2.7,1.4,4.66,82.3,83.14,0.5,0.98,3.07,77.54,53.56,0.3,107.4,0.08,0.57, -   ,3.93,2.53,3.2,3.03,-1.27,-0.34, -   ,-0.41,75.4,0.91,0.72,0.61,0.45,88.74,84.07,79.27,8.6,12.3,18.3,12.1,6,6,2.9,1.4,1.8,0.9,83,3.37,3.28,4.67,11.5,8.63,19.2,24.03,842.91,340.61,3186.91,248.01,376.39,1018.48,636.7,297.68,2329.59,161.97,111.87,69.53,0.28,-6.03,0.61,0.36,0.46,-10.18,6.23,-5.26,136.6,96.7,108.2,106.9,88.8,61.87,2915.29,-18.1,112.83,6.6
31/08/2006,5666.15,69922,57902.82,8534.77,30877.76,36128.12,5666.15,4.3,11.6,19,9.5,6.4,1.7,3.6,2.1,1,4.71,83.2,83.47,0.5,0.97,2.98,77.77,53.33,0.3,90,0.08,0.57, -   ,3.87,2.57,3.3,3.07,-1.29,-0.35, -   ,-0.41,75.71,0.9,0.56,0.7,0.44,88.97,84.13,79.23,4.5,10.2,18.1,9.3,3.4,0,3.7,1.5,1.5,0.9,83,3.26,3.18,4.46,11.5,8.67,19.2,24.07,843.82,341.62,3209.83,249.02,381.78,1031.96,639.39,299.37,2353.17,162.24,112.04,69.97,-0.31,-6.24,0.28,0.23,-0.32,-5.22,10.4,-5.48,108.9,82.1,97.5,81.2,80.5,61.88,2909.2,-0.7,108.27,6.61
30/09/2006,5765.02,68379.12,56480.95,8817.98,31288.22,37508.9,5765.02,12.2,16.9,26.8,17.3,6.6,2.4,12.7,1.2,0.7,4.67,82.7,83.8,0.48,0.93,2.8,78,53.1,0.29,101.2,0.08,0.54,0.53,3.8,2.6,3.4,3.1,-1.26,-0.34,1.12,-0.4,76,0.86,0.85,1,0.43,89.2,84.2,79.2,7.2,14,22.4,13.2,6,0.5,8.5,1.4,1.1,0.8,82.4,3.05,2.98,4.14,11.5,8.7,19.2,24.1,844.7,342.6,3232,250,387,1045,642,301,2376,162.5,112.2,70.38,0.67,-6.44,0.21,0.39,-0.26,-3.98,4.99,-5.68,119.5,94,108.1,98,86.5,62.05,2915.41,-11.5,103.7,6.59
31/10/2006,6161.57,68531.66,61693.83,9403.66,32718.57,37834.93,6161.57,9.2,20.1,29.3,22.1,8.9,3,1.7,1.3,0.5,4.46,83.3,83.97,0.43,0.89,1.18,78.67,53.23,0.33,105.2,0.3,0.51, -   ,3.63,2.63,3.3,3.07,0.71,-1.15, -   ,0.41,76.78,1.08,0.9,1.03,2.11,89.44,84.37,79.6,5.9,14.7,22.9,14.6,6.9,1.9,-4.2,1.3,1.2,0.5,82.8,3.32,3.31,-0.71,11.57,8.77,19.17,24.07,847.23,344.96,3264.01,251.35,390.71,1069.93,652.11,300.66,2414.41,162.6,112.2,70.25,0.62,-6.33,0.33,-0.49,-0.13,-5.97,7.8,-5.89,121.5,95.5,119,106.7,83.4,61.78,2924.52,-23.3,104.03,6.38
30/11/2006,6403.56,69391.27,61509.57,9085.3,33475.56,39841.47,6403.56,3.1,19.7,30.2,21.7,7.3,6.6,8.3,1.5,0.7,4.51,83.4,84.13,0.42,0.85,1.13,79.33,53.37,0.33,95,0.29,0.49, -   ,3.47,2.67,3.2,3.03,0.68,-1.13, -   ,0.39,77.53,1.04,0.9,1.17,2,89.66,84.53,80,7.1,14.7,24.3,17.1,4.2,4.4,1.6,1.5,1.1,0.8,82.6,3.11,3.1,-0.69,11.63,8.83,19.13,24.03,849.67,347.24,3294.99,252.65,394.29,1094.07,661.89,300.34,2451.59,162.7,112.2,70.13,0.63,-6.24,-0.43,0.39,0.15,-7.39,13.54,-6.1,108.2,91.1,103.4,84.4,87.8,61.89,2927.81,3.4,104.37,6.25
31/12/2006,6665.18,72023.88,61352.57,10086.84,34711.37,42725.7,6665.18,2.8,14.7,23.1,17.2,3.9,0.2,6.4,2,0.6,4.57,83.3,84.3,0.43,0.87,1.15,80,53.5,0.33,106.2,0.3,0.51,1.15,3.3,2.7,3.1,3,0.7,-1.18,1.29,0.4,78.3,1.06,0.51,0.85,2.03,89.9,84.7,80.4,5.7,9.5,15,8.9,5.8,2.1,5.5,2,1,0.8,82.6,3.11,3.11,-0.72,11.7,8.9,19.1,24,852.2,349.6,3327,254,398,1119,672,300,2490,162.8,112.2,70.01,-1.06,-6.14,1.3,0.57,-0.13,-9.43,16.57,-6.31,121.1,96.3,113.1,108,92.4,62.12,2940.18,-15.6,104.7,6.29
31/01/2007,6789.94,71162.98,61447.78,10382.07,35345.11,43740.05,6789.94,12.8,8.4,15.7,7.1,2.2,1.7,-2,1.6,0.9,4.55,80.8,84.37,0.48,0.9,2.12,80,53.47,0.34,109.6,0.07,0.47, -   ,3.02,2.67,3,2.9,0.86,2.04, -   ,2.1,79.13,0.57,1.1,1.26,4.21,90.21,85.04,80.54,10.2,17.4,25.2,17.9,6.5,6.3,4.6,1.9,1.2,0.9,82.1,1.69,2.16,-0.83,11.77,8.93,19.03,23.9,852.82,349.6,3363.86,255.38,399.38,1138.29,672.34,302.76,2513.77,162.42,111.86,69.67,1.29,-6.03,-2.16,-0.07,0.36,-4.27,10.05,-6.39,134.6,99.5,112.9,108.5,92.7,61.95,2918.15,-15.8,106.7,6.33
28/02/2007,6871.94,73810.79,63652.91,10782.63,35920.87,43461.56,6871.94,8.7,15.2,22,13.8,9.8,5.3,7.6,1.6,0.9,4.63,83.5,84.43,0.43,0.81,1.88,80,53.43,0.3,111.4,0.06,0.42, -   ,2.78,2.63,2.9,2.8,0.77,1.81, -   ,1.86,79.87,0.51,1.16,1.37,3.65,90.49,85.36,80.66,11.7,18.2,27.1,18.4,9.2,6.6,8.6,1.7,1.2,0.9,83.4,1.5,1.91,-0.75,11.83,8.97,18.97,23.8,853.38,349.6,3397.14,256.62,400.62,1155.71,672.66,305.24,2535.23,162.08,111.54,69.36,1.3,-5.94,1.91,0.39,0.32,-4.13,16.1,-6.47,127.5,96.9,116.8,118.9,96.9,62.02,2926.09,-22,103.7,6.43
31/03/2007,7149.54,78329.1,67698.91,11777.51,37103.54,41643.02,7149.54,9.6,15.6,22.9,14,9.8,7.6,1.5,1.2,0.9,4.46,83.1,84.5,0.47,0.89,2.04,80,53.4,0.34,115.5,0.07,0.46,2.41,2.5,2.6,2.8,2.7,0.85,1.97,2.13,2.02,80.7,0.56,1.16,1.84,3.89,90.8,85.7,80.8,10.3,18.2,26,17.5,10.8,7.2,3.1,1.6,0.9,0.8,83.3,1.64,2.07,-0.84,11.9,9,18.9,23.7,854,349.6,3434,258,402,1175,673,308,2559,161.7,111.2,69.02,1.33,-5.84,0.76,0.1,0.39,-4.96,12,-6.55,133.6,97.5,121.6,120.2,104.4,62.07,2917.6,-15.8,104.2,6.3
30/04/2007,7510.76,79052.09,69208.59,11829.03,38176.9,43113.43,7510.76,12.8,13.7,22.3,13.4,5.5,1,2.5,1,0.7,4.39,82.7,84.83,0.22,0.47,-1.31,80.63,53.6,0.32,115.3,-0.19,0.23, -   ,2.37,2.6,2.8,2.73,-0.64,2.76, -   ,0.58,80.47,0.53,1.08,1.4,-2.08,91.2,85.57,80.5,13,17.1,26,17.8,7.8,3.7,4.9,1.4,0.9,0.9,83,0.82,1.59,2.39,11.9,9,19,23.8,854.92,350.85,3469.27,259.32,396.4,1213.57,677.29,307.67,2595.59,162.66,111.6,69.66,0.95,-5.95,0.09,0.21,-0.06,-1.03,19.06,-6.63,135.7,102.8,111.1,124,102.8,62.15,2948.75,-21.2,100.3,6.23
31/05/2007,7918.78,84164.99,74000.15,12332.86,39184.96,44913.42,7918.78,9.3,14,18.9,12.5,10.7,3.8,7,1.2,0.7,4.26,83.2,85.17,0.23,0.48,-1.37,81.27,53.8,0.32,123.9,-0.2,0.24, -   ,2.23,2.6,2.8,2.77,-0.67,2.78, -   ,0.59,80.23,0.55,1.08,1.25,-2.2,91.6,85.43,80.2,12.4,17.1,24.9,17.4,9.1,5,7.5,1.5,0.8,0.8,83.5,0.84,1.61,2.41,11.9,9,19.1,23.9,855.88,352.15,3505.73,260.68,390.6,1253.43,681.71,307.33,2633.41,163.64,112,70.32,0.74,-6.06,0.47,0.22,0.09,2.93,18.69,-6.71,145.8,99.1,124.1,137.9,112.8,62.27,2925.84,-25.1,102.9,6.27
30/06/2007,7924.35,88653.3,77450.28,11593.51,39119.09,42677.96,7924.35,13.5,17.3,25.6,17.3,9,8.3,5.9,1.1,0.6,4.32,83.3,85.5,0.22,0.46,-1.35,81.9,54,0.32,121.5,-0.19,0.23,0.19,2.1,2.6,2.8,2.8,-0.65,2.62,0.83,0.57,80,0.53,1,0.98,-2.18,92,85.3,79.9,13.5,16,23.7,14.5,10.9,5.2,9.5,1.5,0.8,0.8,83.2,0.81,1.54,2.28,11.9,9,19.2,24,856.8,353.4,3541,262,385,1292,686,307,2670,164.6,112.4,70.96,0.35,-6.17,-0.4,0.28,0.1,-7.47,10.18,-6.79,141,102.3,121.4,132.6,110,62.31,2959.35,-22.6,101.4,6.25
31/07/2007,7841.07,85548.69,78415.42,11590.43,38304.16,40638.42,7841.07,13.4,20,29.5,21.3,9.2,5.2,2.7,2.5,0.8,4.25,82.8,85.6,0.38,0.53,0.58,82.07,54.03,0.36,120.8,0.23,0.37, -   ,2,2.6,2.87,2.83,-0.17,0.71, -   ,0.69,79.76,2.55,1.3,1.59,1.14,92.13,85.5,80.17,10.5,20.1,29.9,21.3,8.6,3.9,5.5,1.2,0.8,0.3,83.4,2.8,2.25,8.36,12,9.1,19.07,23.8,860.54,354.18,3593.57,263.68,395.45,1307.84,687.68,306.66,2697.97,164.06,112.27,70.73,1.51,-6.66,0.73,0.14,-0.04,3.21,14.26,-6.87,145.5,102.4,116.9,128.6,110.5,62.35,2962.31,-18.1,93.4,6.27
31/08/2007,7537.62,86214.11,79267.16,11364.51,39240.53,44038.29,7537.62,8.5,19.7,26.9,19.9,12.3,9.6,3.6,2,0.8,4.3,83.8,85.7,0.38,0.53,0.58,82.24,54.07,0.35,111.1,0.23,0.37, -   ,1.9,2.6,2.93,2.87,-0.17,0.7, -   ,0.69,79.53,2.49,1.17,1.69,1.13,92.27,85.7,80.44,7.6,18.3,26.3,19.5,9.6,8.3,4,1.4,0.9,0.7,83.6,2.72,2.2,7.72,12.1,9.2,18.93,23.6,864.28,354.95,3646.13,265.37,405.89,1323.67,689.37,306.33,2725.93,163.52,112.13,70.51,0.63,-7.13,0.02,0.41,0.43,5.61,20.38,-6.95,123.5,99.3,112.4,116.1,104,62.47,2971.34,-12.1,75.1,6.25
30/09/2007,7881.23,95155.64,90736.98,11360.1,41424.11,45034.91,7881.23,12.2,18.1,28,19.8,6.6,8.8,11.7,1.3,0.5,4.21,83.5,85.8,0.36,0.51,0.56,82.4,54.1,0.35,115.7,0.22,0.36,2.13,1.8,2.6,3,2.9,-0.17,0.68,1.69,0.66,79.3,2.35,0.91,1.48,1.08,92.4,85.9,80.7,7.2,14.8,22.4,14.7,5.9,5.9,7.1,1.5,1.1,0.6,83.3,2.56,2.08,6.93,12.2,9.3,18.8,23.4,867.9,355.7,3697,267,416,1339,691,306,2753,163,112,70.3,-0.55,-7.59,-0.77,0.2,0.06,2.62,19.29,-7.03,124.2,106.2,113.4,124.6,110.2,62.55,3015.49,-14.4,84.8,6.19
31/10/2007,8304.44,95860.27,93501.2,12169.14,42623.77,44808.48,8304.44,11.4,23.7,32.8,27.6,10.8,10.3,10.5,2,0.9,4.33,85.3,86.2,0.14,0.66,0.31,82.74,54.03,0.32,115.3,-0.12,0.13, -   ,2.2,2.73,3.27,3.14,0.33,1.39, -   ,0.18,79.77,0.63,1.18,1.57,-1.34,92.84,85.63,80.4,8.4,18.5,26.9,20.7,8.2,9.5,3.8,1.9,1.1,0.8,84.6,1.69,1.36,0.04,12.3,9.4,18.83,23.43,865.95,353.51,3730.36,268.35,422.07,1341.02,686.62,308.02,2758.39,163.1,112.17,70.53,0.68,-7.54,1.86,0.02,0.43,7.7,15.82,-7.11,123.6,101.8,116.7,125.2,109.3,62.39,2942.22,-15.9,85.1,6.16
30/11/2007,7991.59,93286.58,92208.95,12179.96,41416.73,41966.55,7991.59,2.3,20.1,27.2,18.7,14.4,9.7,7.9,1.6,0.7,4.43,84.5,86.6,0.13,0.64,0.3,83.06,53.97,0.32,110.5,-0.11,0.13, -   ,2.6,2.87,3.53,3.36,0.32,1.33, -   ,0.17,80.23,0.61,0.96,1.53,-1.31,93.26,85.37,80.1,6.1,15.5,21.9,14.6,11.6,7.8,1,1.5,1.3,0.8,83.7,1.61,1.3,0.04,12.4,9.5,18.87,23.47,864.05,351.39,3762.64,269.65,427.93,1342.98,682.38,309.98,2763.61,163.2,112.33,70.76,-0.45,-7.5,0.18,0.65,0.18,5.48,12.87,-7.19,114.5,98.6,120.1,113.1,106.2,62.63,2995.16,-6.9,80.7,6.05
31/12/2007,7801.82,94610.75,88713.24,12272.7,40291.21,39133.64,7801.82,2.4,18.9,25.4,22.7,8.5,4.5,3.7,1.4,0.6,4.31,83.6,87,0.14,0.65,0.31,83.4,53.9,0.31,112.5,-0.12,0.13,1.41,3,3,3.8,3.6,0.32,1.35,1.17,0.18,80.7,0.63,0.75,1.46,-1.38,93.7,85.1,79.8,5.1,12.7,16.5,13.3,9.9,6.6,2.7,1.5,1.3,0.8,82.8,1.64,1.32,0.04,12.5,9.6,18.9,23.5,862.1,349.2,3796,271,434,1345,678,312,2769,163.3,112.5,70.99,-1.59,-7.45,-0.44,0.07,-0.01,-1.87,5.29,-7.27,118.3,103,112.4,124.1,104.5,62.65,2999.66,-19.6,81,6.05
31/01/2008,6681,82747.02,82603.22,11189.91,35920.24,33684.58,6681,2,5.5,9.1,3.9,3.4,1.2,-3.7,1.3,0.9,4.22,82.6,87.1,0.34,0.89,0.8,83.4,53.8,0.36,103.1,0.06,0.26, -   ,3.44,3.2,4.04,3.8,0.61,0.4, -   ,1.05,81.48,0.83,0.94,2.82,3.2,93.7,85.27,80.14,0.7,15.3,18.6,14.8,8.2,5.9,2.7,1.6,1.5,0.8,84,2.13,1.55,-3.47,12.67,9.77,19.17,23.74,848.75,341.06,3788.85,272.36,438.09,1314.68,661.99,313.02,2727.44,162.99,112.4,70.94,-0.77,-7.13,0.11,0.21,-0.09,0.08,8.17,-7.1,111.9,102.2,109,98.8,93.6,62.7,3037.38,-5.2,80.7,6.01
29/02/2008,6934.94,93102.72,91331.66,12557.75,35673.6,32012.15,6934.94,-4.6,9.8,13.2,4.9,11.3,3.1,2.7,1.4,0.9,3.98,84.1,87.2,0.32,0.82,0.74,83.4,53.7,0.33,97.4,0.05,0.24, -   ,3.86,3.4,4.26,4,0.57,0.37, -   ,0.97,82.22,0.77,0.82,2.07,2.9,93.7,85.43,80.46,-1.8,13.7,19.6,10.5,11.4,4.7,3.9,1.6,1.6,0.9,84,1.95,1.42,-3.36,12.83,9.93,19.43,23.96,836.25,333.44,3782.15,273.64,441.91,1286.32,647.01,313.98,2688.56,162.71,112.3,70.9,-1.35,-6.83,0.92,0.07,-0.22,11.35,3.7,-6.94,94.6,91.3,113,85,103.2,62.76,3014.3,18.2,67.1,5.91
31/03/2008,6604.61,91126.99,83356.7,11594.66,34491.91,32144.32,6604.61,-3.8,7.2,12.2,4.4,5.1,-0.2,5.4,1.2,1.2,4.06,83.3,87.3,0.34,0.87,0.79,83.4,53.6,0.35,88.6,0.06,0.26,-0.27,4.3,3.6,4.5,4.2,0.6,0.4,0.47,1.02,83,0.82,0.51,1.79,3.01,93.7,85.6,80.8,-4.5,9.5,15,7,6.3,0,5.8,1.7,2,1.1,83.4,2.05,1.5,-3.72,13,10.1,19.7,24.2,822.9,325.3,3775,275,446,1256,631,315,2647,162.4,112.2,70.86,-2.87,-6.52,-0.05,0.28,-0.73,-5.37,4.98,-6.78,84.3,77,103.9,80.2,97.4,62.74,3045.54,17.2,71.8,5.93
30/04/2008,6838.72,100336.89,91244.26,11927.18,36054.83,33514.81,6838.72,-6.9,4.1,7.4,-1.2,6.2,-6.7,2,1.4,1.1,4.27,83.6,87.66,0.11,0.85,2.45,84.16,53.44,0.41,87.4,-0.19,0.07, -   ,4.33,3.8,4.6,4.27,0.19,1.05, -   ,0.12,85.24,-0.02,0.3,1.15,0.28,94.06,85.37,80.9,-5.7,6.8,10.2,3.1,7.6,-5.5,5.2,1.6,2.3,1.2,83.9,2.58,0.64,-5.5,13.13,10.26,19.93,24.6,814.69,322.93,3756.87,275.99,451.93,1254.68,627.37,315,2647.99,162.6,112.6,70.82,-2.81,-6.11,0.35,0.58,-1.34,-12.4,0.02,-6.61,73.6,79.1,112.3,75.1,97.1,62.86,3071.79,22,73.2,6.02
31/05/2008,7107.38,120135.06,94724.63,12460.72,36604.8,30489.49,7107.38,-8,4.4,5.8,0.9,6.4,-3.6,0.9,1.4,1,4.27,82.3,88.04,0.11,0.87,2.47,84.94,53.26,0.41,89.8,-0.2,0.07, -   ,4.37,4,4.7,4.33,0.2,1.08, -   ,0.13,87.56,-0.02,0.38,1.29,0.29,94.44,85.13,81,-5,7.8,12.3,6.4,5,-2.6,2.3,1.7,2.3,1.1,82.6,2.6,0.66,-6.02,13.27,10.44,20.17,25,806.21,320.47,3738.13,277.01,458.07,1253.32,623.63,315,2649.01,162.8,113,70.79,-1.65,-5.69,0.26,-0.26,-0.9,-13.2,5.83,-6.45,87.2,76.9,100,87,97.7,62.59,3046.44,10.7,78.5,5.94
30/06/2008,6303.28,122083.8,93387.7,11100.84,33875.33,27165.82,6303.28,-9.2,2.5,4.9,4.7,-2,-3.4,-3.7,1.1,1.2,4.24,82.9,88.4,0.11,0.83,2.33,85.7,53.1,0.41,84.7,-0.19,0.07,-0.52,4.4,4.2,4.8,4.4,0.19,1.03,-0.45,0.12,89.8,-0.02,-0.13,1.23,0.28,94.8,84.9,81.1,-8.8,1.1,3,2.2,-0.1,-6.5,0.2,1.6,2.6,1.4,82.9,2.45,0.63,-6.19,13.4,10.6,20.4,25.4,798,318.1,3720,278,464,1252,620,315,2650,163,113.4,70.77,-2.78,-5.3,0.13,0.47,-1.3,-8.94,8.26,-6.29,89.2,67.8,99.9,74.4,92.3,62.79,3059.81,17.9,81,5.8
31/07/2008,5957.69,105327.85,83768.59,11752.13,32329.82,25816.07,5957.69,-7.8,-4.7,-1,-7.2,-5.8,-5.8,0,2.8,1.9,4.25,81.2,88.53,0.23,1.08,4.2,85.8,52.63,0.35,79,0.27,0.18, -   ,4.6,4.33,4.9,4.53,-0.21,-0.35, -   ,0.26,91.65,2.78,-0.55,0.5,2.39,94.9,84.93,81.1,-10.1,-4.6,-0.8,-7.1,-6.5,-6,3.1,1.4,2.8,1.4,81.7,-1.2,-1.65,-4.47,13.43,10.67,20.6,25.7,788.43,314.43,3697.09,279.01,472.42,1232.46,615.96,317.36,2637.53,162.56,113.2,70.24,-2.75,-5.01,1.05,0.18,-1.15,-2.57,7.43,-6.12,88.2,63.7,87.7,62.9,92.6,62.77,3003.61,29.7,88.3,5.85
31/08/2008,6073.1,114783.83,83751.88,11629.15,33652.13,28474.09,6073.1,-9.2,-2.6,-2.6,-6.5,1.4,-7.3,1,2.1,1.4,4.02,81.9,88.67,0.23,1.06,4.03,85.9,52.16,0.34,86.2,0.27,0.18, -   ,4.8,4.47,5,4.67,-0.21,-0.35, -   ,0.25,93.51,2.71,-0.51,0.51,2.33,95,84.97,81.1,-11.1,-4,-2.9,-7.6,-0.9,-8.1,1.7,1.5,2.2,1.3,81.9,-1.22,-1.68,-4.68,13.47,10.73,20.8,26.01,778.86,310.75,3674.17,280.02,480.85,1212.91,611.91,319.72,2625.07,162.12,113,69.72,-1.84,-4.72,-0.5,0.15,-1.27,-4.68,0.66,-5.95,91.8,75.1,102.6,72.2,89.2,62.89,3030.58,17,98.2,5.72
30/09/2008,5161.1,100140.63,64710.45,11092.82,30338.76,26823.2,5161.1,-3.5,0.7,4.4,-1.2,-1,-7.5,2.2,1.2,0.8,4.29,81.5,88.8,0.22,1.02,3.75,86,51.7,0.34,92.2,0.26,0.17,-0.11,5,4.6,5.1,4.8,-0.21,-0.34,-0.37,0.25,95.3,2.55,-0.44,1.09,2.21,95.1,85,81.1,-8.2,-3.1,-2.3,-7,-1.9,-11.1,-2.8,1.3,2,1,81.3,-1.19,-1.66,-4.75,13.5,10.8,21,26.3,769.6,307.2,3652,281,489,1194,608,322,2613,161.7,112.8,69.23,-1.36,-4.45,-0.26,0.15,-1.53,-6.68,-0.54,-5.79,88.4,77.8,112.1,86.3,96.4,62.69,3056.3,10.1,98.2,5.95
31/10/2008,3880.59,80619.02,53445.99,10819.36,26514.52,20073.16,3880.59,-26.4,-7.4,-4.9,-7.9,-9.4,-17.3,5.9,1.4,1.2,4.29,82.1,88.63,-0.14,0.07,-1.11,86.17,51.73,0.3,82,-0.6,-0.17, -   ,4.56,4.4,4.93,4.63,-0.57,-1.61, -   ,-0.18,94.59,2.03,-1.13,1.63,1.56,94.73,85.07,81.27,-29.5,-12.2,-10.3,-13.8,-12.2,-18.3,-1.3,1.2,2.9,1.2,81.3,-2.72,-0.8,-12.24,12.76,10.13,21.4,27.01,751.03,301.07,3578.54,282.01,500.46,1159.29,596.88,326.38,2583.01,160.76,112.4,70.41,-2.07,-3.9,-0.06,0.08,-2.32,-6.73,-2.24,-5.62,71,77,105.6,68.8,87.6,62.62,3084.56,18.8,100.7,6.24
30/11/2008,3507.81,77156.95,51883.52,10715.03,24869.93,20122.67,3507.81,-33.8,-11.6,-8.8,-12,-13.8,-20.9,5.1,0.9,1,4.46,81.4,88.47,-0.14,0.06,-1.09,86.33,51.77,0.3,85.5,-0.58,-0.17, -   ,4.14,4.2,4.77,4.47,-0.55,-1.59, -   ,-0.17,93.91,1.93,-1.41,2.71,1.49,94.37,85.13,81.43,-30.3,-16,-13.5,-16.1,-16.7,-23,-2.1,0.8,2.2,1,80.5,-2.7,-0.78,-13.5,12.04,9.47,21.8,27.69,733.07,295.13,3507.46,282.99,511.54,1125.71,586.12,330.62,2553.99,159.84,112,71.55,-1.98,-3.38,-0.45,0.12,-2.78,-10.84,-2.5,-5.46,82.2,71,105.5,67.6,101.4,62.47,3075.7,33.8,121.5,6.3
31/12/2008,3653.46,78834.31,52563.45,10129.43,24801.27,18006.93,3653.46,-23.1,-3.6,7.4,0.7,-18.9,-24.8,-6.6,0,0.5,4.57,81.3,88.3,-0.14,0.07,-1.14,86.5,51.8,0.3,92,-0.6,-0.17,1.25,3.7,4,4.6,4.3,-0.57,-1.67,-0.21,-0.18,93.2,1.95,-0.98,2.98,1.51,94,85.2,81.6,-20.7,-10.3,-2,-9.4,-18,-22.6,-8,0.1,1.3,0.6,80.6,-2.87,-0.81,-16.12,11.3,8.8,22.2,28.4,714.5,289,3434,284,523,1091,575,335,2524,158.9,111.6,72.71,-1.03,-2.83,-0.12,0.19,-2.47,14.09,-3.13,-5.3,105.4,74.3,111.1,71.4,97.6,62.4,3123.75,26.2,136.8,6.68
31/01/2009,3483.44,74176.71,52033.3,10137.92,23591.65,16258.26,3483.44,-25.7,-18.8,-14,-21,-21.5,-23.4,-12.6,-0.2,0.8,4.91,78.7,88.16,0.32,0.12,0.66,85.91,51.63,0.28,89.9,0.1,0.37, -   ,3.22,3.72,4.6,4.23,-0.83,-1.47, -   ,-1.16,91.58,-1.31,-0.83,2.48,-2.22,93.55,85.61,81.7,-26.1,-8.3,-4,-9.4,-16.3,-18.6,-6.2,0.1,1.6,0.7,80,-2.57,-2.9,-14.18,10.92,8.39,22.3,28.54,710.71,286.62,3439.17,284.69,526.79,1082.04,571.9,335,2516.08,158.59,111.81,72.48,-0.64,-2.43,1.37,0.38,-1.56,4.91,-3.91,-4.74,101.8,82.2,105.8,58.3,101.5,62.29,3068.91,43.2,137.3,6.94
